# ApertureRA_1 ApertureDec_1 Magnitude_1 Bmag               ApertureRA_2 ApertureDec_2 Magnitude_2 imag               Separation           
  114.549751   21.721552     -8.9589     15.015293548339844 114.549725   21.721711     -12.3393    14.31969984436035  0.5789669354111985   
  114.724738   21.724005     -9.855      14.119194457763673 114.724706   21.724045     -13.4028    13.256200393676757 0.17941264057167916  
  114.452429   21.719346     -8.8306     15.143594215148926 114.452335   21.719204     -12.0773    14.58169992828369  0.6001315943275285   
  114.621801   21.720592     -8.1754     15.798794219726563 114.622034   21.720453     -11.8353    14.823699554443358 0.9260795530194994   
  114.741352   21.716718     -9.3157     14.658494422668458 114.741337   21.716919     -12.3406    14.318399986267089 0.7253369682919386   
  114.641425   21.713181     -10.0744    13.899794051879883 114.641485   21.713213     -12.9587    13.700299819946288 0.23138968963431414  
  114.640311   21.71247      -10.0744    13.899794051879883 114.640179   21.712672     -12.9572    13.701799949645995 0.8507226660279926   
  114.596626   21.711201     -7.2009     16.773293922180176 114.596641   21.71121      -11.7076    14.95140036010742  0.05972197204502076  
  114.681991   21.70987      -8.6084     15.365793655151368 114.682094   21.709903     -12.5347    14.124299606323241 0.3644074518530485   
  114.725335   21.708849     -11.8932    12.080994079345704 114.725298   21.709047     -15.1639    11.495099624633788 0.7234629133465733   
  114.674712   21.707511     -7.5198     16.454393813842774 114.674806   21.707542     -11.3408    15.318199714660643 0.3336213305437699   
  114.734357   21.707568     -7.598      16.376193950408936 114.734143   21.707759     -10.9708    15.688199600219725 0.9925291896824426   
  114.45364    21.703513     -7.4722     16.5019940831604   114.453543   21.703354     -13.473     13.186000427246093 0.6579563428253796   
  114.565031   21.704684     -8.6711     15.303094337219239 114.565017   21.704663     -13.0369    13.622100433349608 0.08892752996598385  
  114.631423   21.705036     -9.9689     14.005294273132325 114.63147    21.705055     -13.5547    13.104300102233886 0.1714396978726655   
  114.678705   21.703903     -7.8715     16.10269398474121  114.678803   21.70393      -11.1767    15.4823003616333   0.34189691982288944  
  114.51765    21.700387     -9.2077     14.7664942243042   114.517783   21.700317     -13.9046    12.754399856567382 0.5112838453233339   
  114.580665   21.700536     -7.2499     16.724294135803223 114.580661   21.700697     -10.9794    15.67960031890869  0.5797544046777731   
  114.479082   21.696375     -7.1025     16.871694038146973 114.478996   21.696422     -11.2406    15.418400367736815 0.3337375245658905   
  114.538353   21.695963     -10.0194    13.954794357055665 114.538502   21.69591      -13.3653    13.293699821472167 0.5336740331002247   
  114.61429    21.697145     -9.0343     14.939894149536133 114.614319   21.697149     -13.4191    13.239900192260741 0.09806636702652172  
  114.626155   21.693989     -7.3062     16.66799397253418  114.626195   21.693994     -11.4081    15.25089987182617  0.13500600026639822  
  114.57387    21.69156      -7.6752     16.29899401449585  114.57386    21.691531     -11.0562    15.602799972534179 0.10962806101897152  
  114.586085   21.689979     -7.3168     16.657393882507325 114.586276   21.689786     -10.7895    15.869499763488768 0.943907441406193    
  114.706286   21.690484     -10.3399    13.634293983215333 114.706414   21.690495     -14.399     12.25999983215332  0.4299998892611169   
  114.523125   21.686872     -8.3414     15.632793853515626 114.523259   21.686793     -13.6187    13.040299972534179 0.5308629630229639   
  114.756946   21.688675     -7.4385     16.53569407247925  114.756946   21.688838     -10.9238    15.735199531555175 0.5867999999958599   
  114.500456   21.685519     -8.2824     15.691793868774415 114.500385   21.685408     -12.0353    14.623699745178222 0.46485619417189217  
  114.47853    21.684697     -8.6993     15.274894187683106 114.47844    21.684728     -12.2584    14.400600036621093 0.3210891633306304   
  114.702778   21.686779     -8.2803     15.693893859619141 114.7029     21.686787     -11.6489    15.010099967956542 0.409127403793522    
