# ApertureRA_1 ApertureDec_1 Magnitude_1 Bmag               ApertureRA_2 ApertureDec_2 Magnitude_2 Vmag               Separation          
  114.41513    21.705985     -8.3497     18.53529802593994  114.415259   21.705897     -8.902      17.820538572753907 0.5352847595910842  
  114.605061   21.708145     -11.6357    15.249297774169921 114.604991   21.707922     -12.0963    14.62623887487793  0.8362439358381958  
  114.674829   21.707658     -10.3947    16.490297949645996 114.674829   21.707662     -10.9499    15.772639326538087 0.014399999999687664
  114.712504   21.707783     -9.4379     17.447098410461425 114.71239    21.707821     -9.929      16.79353909918213  0.4050930471528934  
  114.734245   21.707702     -10.5282    16.356797850463867 114.73437    21.707766     -10.865     15.857539228881837 0.4773688947931784  
  114.529304   21.705194     -8.571      18.31399790081787  114.529244   21.705112     -9.1904     17.53213887640381  0.35695614652817426 
  114.517678   21.704509     -8.9873     17.89769808087158  114.517441   21.704421     -9.5819     17.140639357055665 0.8536705936462446  
  114.453488   21.703415     -10.3405    16.544498122070312 114.453532   21.703323     -11.5921    15.130438856567384 0.36242625311794247 
  114.72263    21.707385     -8.314      18.570997870300292 114.722537   21.707608     -8.9176     17.80493932196045  0.8609555953666869  
  114.564965   21.704815     -11.5802    15.3047978046875   114.564891   21.704572     -12.3777    14.344839148010255 0.9091411604517203  
  114.631552   21.705182     -12.8914    13.993597662780761 114.631503   21.704977     -13.3537    13.368839315856935 0.7559794850944083  
  114.576802   21.703756     -8.2422     18.642798102233886 114.576538   21.70369      -8.8054     17.917139105285646 0.914432330497924   
  114.678821   21.703873     -10.8063    16.078697836730957 114.678832   21.70388      -11.1217    15.600838713134767 0.04459528856439275 
  114.517746   21.700327     -12.1304    14.754598296020507 114.517699   21.700242     -13.0301    13.692439131225587 0.34402128521932107 
  114.664779   21.702648     -8.1361     18.748898184631347 114.664769   21.702643     -8.7642     17.958338789428712 0.037983934334981526
  114.685969   21.70222      -8.6132     18.271797812316894 114.686184   21.702062     -9.0663     17.656238607849122 0.916893004654034   
  114.580793   21.700498     -10.2292    16.65579763684082  114.580719   21.700436     -10.7388    15.983738951171876 0.33329333466874217 
  114.743878   21.702238     -9.1526     17.732397711608886 114.743847   21.702311     -9.7483     16.974239401306153 0.2825161308521124  
  114.638011   21.699687     -9.6747     17.210298216674804 114.63797    21.699661     -10.095     16.627538732971193 0.1660373930156015  
  114.518525   21.698596     -12.1304    14.754598296020507 114.518478   21.69851      -13.0301    13.692439131225587 0.34722816576254045 
  114.65639    21.699402     -9.3933     17.49169794354248  114.656371   21.69939      -9.8483     16.874239019836427 0.0768453998802892  
  114.478765   21.696463     -10.0789    16.80609766278076  114.478955   21.696374     -10.7486    15.973938993896486 0.7117376007859042  
  114.584405   21.697409     -9.2332     17.651797926757812 114.584334   21.697349     -9.7195     17.003039411987306 0.3210261500950553  
  114.448555   21.695329     -9.6155     17.269497549865722 114.448422   21.695407     -10.0993    16.623238615478517 0.5260888814428963  
